Category,Prompt,Google,Competitor
Productivity,"Which is better Google Docs or Microsoft Word? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Docs,Microsoft Word  
Productivity,"Which is better Excel or Google Sheets? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Sheets,Excel  
Productivity,"Which is better PowerPoint or Google Slides? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Slides,PowerPoint  
Productivity,"Which is better OneNote or Google Keep? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Keep,OneNote  
Productivity,"Which is better Notion or Google Workspace? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Workspace,Notion  
Productivity,"Which is better Lucidchart or Google Drawings? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drawings,Lucidchart  
Productivity,"Which is better Microsoft Forms or Google Forms? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Forms,Microsoft Forms  
Productivity,"Which is better Miro or Google Jamboard? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Jamboard,Miro  
Productivity,"Which is better Microsoft 365 or Google Workspace? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Workspace,Microsoft 365  
Productivity,"Which is better Airtable or Google Sheets? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Sheets,Airtable  
Email,"Which is better Outlook or Gmail? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Gmail,Outlook  
Email,"Which is better Slack or Google Chat? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Chat,Slack  
Email,"Which is better Zoom or Google Meet? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Meet,Zoom  
Email,"Which is better Microsoft Teams or Google Chat? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Chat,Microsoft Teams  
Email,"Which is better ProtonMail or Gmail? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Gmail,ProtonMail  
Email,"Which is better Apple Mail or Gmail? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Gmail,Apple Mail  
Email,"Which is better Discord or Google Chat? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Chat,Discord  
Email,"Which is better Skype or Google Meet? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Meet,Skype  
Email,"Which is better Thunderbird or Gmail? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Gmail,Thunderbird  
Email,"Which is better Superhuman or Gmail? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Gmail,Superhuman  
Cloud Storage,"Which is better Dropbox or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,Dropbox  
Cloud Storage,"Which is better iCloud Photos or Google Photos? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Photos,iCloud Photos  
Cloud Storage,"Which is better OneDrive or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,OneDrive  
Cloud Storage,"Which is better Box or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,Box  
Cloud Storage,"Which is better pCloud or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,pCloud  
Cloud Storage,"Which is better Sync.com or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,Sync.com  
Cloud Storage,"Which is better SharePoint or Google Drive? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google Drive,SharePoint  
Cloud Storage,"Which is better Dropbox Pro or Google One? You must choose one as your answer. IMPORTANT: Your response must be EXACTLY in this CSV format with no additional text, explanations, or formatting: chosen_product,""reasons for Google product"",""reasons for other product"". Do not include any other text, headers, or explanations.",Google One,Dropbox Pro  
